2023-07-16 10:52:53.048  INFO - [           main] m.MigrateRealTimeSpringBootApplicationKt : Starting MigrateRealTimeSpringBootApplicationKt using Java 11.0.19 on TriLe-Victus with PID 14400 (C:\Users\thanh\dev\migrate-real-time-spring-boot\build\classes\kotlin\main started by thanh in C:\Users\thanh\dev\migrate-real-time-spring-boot)
2023-07-16 10:52:53.050  INFO - [           main] m.MigrateRealTimeSpringBootApplicationKt : No active profile set, falling back to 1 default profile: "default"
2023-07-16 10:52:53.690  INFO - [           main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2023-07-16 10:52:53.690  INFO - [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2023-07-16 10:52:53.701  INFO - [           main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface tri.le.migrate.repository.ContactRepo; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2023-07-16 10:52:53.717  INFO - [           main] .RepositoryConfigurationExtensionSupport : Spring Data JDBC - Could not safely identify store assignment for repository candidate interface tri.le.migrate.repository.RecentContactRepo; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2023-07-16 10:52:53.717  INFO - [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 20 ms. Found 0 JDBC repository interfaces.
2023-07-16 10:52:53.722  INFO - [           main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2023-07-16 10:52:53.722  INFO - [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-07-16 10:52:53.744  INFO - [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 18 ms. Found 2 JPA repository interfaces.
2023-07-16 10:52:54.309  INFO - [           main] o.s.b.w.e.t.TomcatWebServer              : Tomcat initialized with port(s): 8080 (http)
2023-07-16 10:52:54.321  INFO - [           main] o.a.c.h.Http11NioProtocol                : Initializing ProtocolHandler ["http-nio-8080"]
2023-07-16 10:52:54.321  INFO - [           main] o.a.c.c.StandardService                  : Starting service [Tomcat]
2023-07-16 10:52:54.323  INFO - [           main] o.a.c.c.StandardEngine                   : Starting Servlet engine: [Apache Tomcat/9.0.76]
2023-07-16 10:52:54.409  INFO - [           main] o.a.c.c.C.[.[.[/]                        : Initializing Spring embedded WebApplicationContext
2023-07-16 10:52:54.409  INFO - [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1324 ms
2023-07-16 10:52:54.572  INFO - [           main] o.h.j.i.u.LogHelper                      : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-07-16 10:52:54.606  INFO - [           main] o.h.Version                              : HHH000412: Hibernate ORM core version 5.6.15.Final
2023-07-16 10:52:54.700  INFO - [           main] o.h.a.c.Version                          : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-07-16 10:52:54.763  INFO - [           main] c.z.h.HikariDataSource                   : HikariPool-1 - Starting...
2023-07-16 10:52:54.968  INFO - [           main] c.z.h.HikariDataSource                   : HikariPool-1 - Start completed.
2023-07-16 10:52:54.968  INFO - [           main] o.h.d.Dialect                            : HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
2023-07-16 10:52:55.261  INFO - [           main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-07-16 10:52:55.268  INFO - [           main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
